cod_local,periodo,codigo_ine,pct_area_viaria,pnc_jubilacion_per_1000,pnc_invalidez_per_1000,pnc_total_per_1000,densidad_poblacion_hab_km2,tasa_crecimiento_pct,clasificacion,ratio_poblacion_area,autonomia_financiera_pct,residuos_kg_habitante,agua_suministrada_per_1000hab,agua_residual_per_1000hab,carga_dbo5_t_anio,pct_verde_urbano,pct_forestal_osm,pct_parque,area_parque_m2_per_hab,area_verde_m2_per_hab,area_forestal_m2_per_hab,parques_per_1000hab,area_parque_m2_per_1000hab,pct_agua,pct_humedal,pct_ribera
28058004,2023,28058,10.281,4.050925419764737,1.9443392439030576,5.995264663667795,4808.08,-0.6082,Urbano,4808.08,46.15,378.6,2672.420735842659,8661.649075957952,4133.318,5.558,5.9,5.141,10.699071719226856,11.567480501865038,12.279056459816887,0.8848338419803323,10699.071719226857,0.091,0.0,0.091
28065014,2016,28065,,3.672338748933817,2.3854970684998102,6.057835817433628,2248.03,,Urbano,2248.03,69.38,380.5,2779.088526483225,8492.77987535308,3868.832,,,,25.31147578102446,27.780073474886645,54.33915056691139,1.6698837874096424,25311.47578102446,,,
28065014,2017,28065,,0.3818856205695121,2.422553288795891,6.241563170797075,2268.76,0.9221,Urbano,2268.76,,402.0,2756.1221170241406,8378.124158664634,3904.507,,,,25.080207305034552,27.52624966346585,53.84265906847348,1.654626222740734,25080.207305034557,,,
28065014,2018,28065,,3.929414651298654,2.413166518675133,6.342581169973788,2300.05,1.3792,Urbano,2300.05,68.88,384.6,2721.018882747708,8227.58883964879,3958.359,,,,24.73899981742436,27.15176462126619,53.1101484395315,1.632115609111078,24738.99981742436,,,
28065014,2019,28065,,4.057691920964001,2.344450890942364,6.402142811906365,2333.48,1.4534,Urbano,2333.48,70.14,395.0,2706.8504804388845,7875.718476992376,4015.891,,,,24.384591054347943,26.762790799131828,52.34929706501467,1.6087340626261084,24384.591054347944,,,
28065014,2020,28065,,3.989446433333412,2.239565019363152,6.229011452696564,2356.46,0.9849,Urbano,2356.46,66.53,376.4,2705.022140619937,7567.188681283076,4055.442,,,,24.14677610973107,26.5017820498974,51.838751485041584,1.5930446052489469,24146.776109731072,,,
28065014,2021,28065,,0.4094056049760259,2.170856927108768,6.265061097565473,2329.93,-1.1259,Urbano,2329.93,65.89,391.6,2745.2906960867317,8290.933668314263,4009.781,,,,24.42174827275458,26.80357191621836,52.429066877850296,1.6111854501761382,24421.74827275458,,,
28065014,2022,28065,,3.983801695204505,2.028787900335628,6.012589595540133,2331.51,0.0677,Urbano,2331.51,57.04,406.5,2752.8913486046754,8922.4643732364,4012.496,,,,24.40521998264372,26.785431641914865,52.39358363488503,1.610095022896097,24405.21998264372,,,
28065014,2023,28065,6.902,4.050925419764737,1.9443392439030576,5.995264663667795,2365.61,1.4627,Urbano,2365.61,59.47,378.6,2713.2044820036685,8793.834286359797,4071.188,6.241,12.207,5.686,24.053383826701594,26.39928133018467,51.63825518157709,1.5868832000172135,24053.3838267016,0.645,0.003,0.648
28067001,2016,28067,,3.672338748933817,2.3854970684998102,6.057835817433628,99.26,,Rural,99.26,49.53,380.5,82071.38080909396,250806.7535941157,131.006,,,,5.71715145436309,6.569709127382146,1522.7683049147442,1.671681711802073,5717.15145436309,,,
